"키","파일","구울크기","그릴크기","갈래","이름","프롬프트"
"npc_kid","assets/sprites/npc/kid.png","192x256","60x80","마을 사람","아이","A village child, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_guard","assets/sprites/npc/guard.png","192x256","60x80","마을 사람","위병","A town gate guard, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_king","assets/sprites/npc/king.png","192x256","60x80","마을 사람","국왕","A king, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_slime_field","assets/sprites/monsters/slime_field.png","256x256","64x64","들판 그림","슬라임","A slime — a fantasy RPG monster, a level 1 creature. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_slime_battle","assets/sprites/monsters/slime_battle.png","512x512","256x256","전투 그림","슬라임","A slime — a fantasy RPG monster, a level 1 creature. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_bat_field","assets/sprites/monsters/bat_field.png","256x256","64x64","들판 그림","박쥐","A bat — a fantasy RPG monster, a level 3 creature. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_bat_battle","assets/sprites/monsters/bat_battle.png","512x512","256x256","전투 그림","박쥐","A bat — a fantasy RPG monster, a level 3 creature. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_mushroom_field","assets/sprites/monsters/mushroom_field.png","256x256","64x64","들판 그림","버섯","A mushroom — a fantasy RPG monster, a level 9 creature. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_mushroom_battle","assets/sprites/monsters/mushroom_battle.png","512x512","256x256","전투 그림","버섯","A mushroom — a fantasy RPG monster, a level 9 creature. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_wolf_field","assets/sprites/monsters/wolf_field.png","256x256","64x64","들판 그림","늑대","A wolf — a fantasy RPG monster, a level 6 creature. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_wolf_battle","assets/sprites/monsters/wolf_battle.png","512x512","256x256","전투 그림","늑대","A wolf — a fantasy RPG monster, a level 6 creature. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_imp_field","assets/sprites/monsters/imp_field.png","256x256","64x64","들판 그림","꼬마악마","An imp — a fantasy RPG monster, a level 13 creature that casts spells. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_imp_battle","assets/sprites/monsters/imp_battle.png","512x512","256x256","전투 그림","꼬마악마","An imp — a fantasy RPG monster, a level 13 creature that casts spells. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_skeleton_field","assets/sprites/monsters/skeleton_field.png","256x256","64x64","들판 그림","해골","A skeleton — a fantasy RPG monster, a level 17 creature. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_skeleton_battle","assets/sprites/monsters/skeleton_battle.png","512x512","256x256","전투 그림","해골","A skeleton — a fantasy RPG monster, a level 17 creature. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_demon_soldier_field","assets/sprites/monsters/demon_soldier_field.png","256x256","64x64","들판 그림","악마병사","A demon soldier — a fantasy RPG monster, a level 21 creature. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_demon_soldier_battle","assets/sprites/monsters/demon_soldier_battle.png","512x512","256x256","전투 그림","악마병사","A demon soldier — a fantasy RPG monster, a level 21 creature. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_imp_captain_field","assets/sprites/monsters/imp_captain_field.png","256x256","64x64","들판 그림","정찰대장","An imp scout captain — a fantasy RPG monster, a level 15 creature that casts spells. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"mon_imp_captain_battle","assets/sprites/monsters/imp_captain_battle.png","512x512","256x256","전투 그림","정찰대장","An imp scout captain — a fantasy RPG monster, a level 15 creature that casts spells. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
